"id","longitude","latitude"
"punc_BM288",-51.8448,-3.3228
"punc_GN71",-54.6064,-9.7307
"punc_H1907",-64.8247,-9.4459
"punc_H1911",-64.8203,-9.4358
"punc_H2546",-65.3576,-9.5979
"punc_IBSPCRIB0361",-46.0247,-23.7564
"punc_ICST764",-36.2838,-9.8092
"punc_JFT459",-40.5219,-20.2811
"punc_JFT773",-40.52,-19.96
"punc_LG1299",-39.0694,-15.2696
"punc_LSUMZH12577",-75.8069,-0.2172
"punc_LSUMZH12751",-75.8069,-0.2172
"punc_LSUMZH13910",-72.7677,-8.2509
"punc_LSUMZH14100",-65.7161,-8.3464
"punc_LSUMZH14336",-54.8416,-3.1354
"punc_LSUMZH15476",-64.55,-10.3167
"punc_MPEG20846",-56.1842,-2.6096
"punc_MPEG21348",-64.3915,-11.6996
"punc_MPEG22415",-48.2948,-1.2169
"punc_MPEG24758",-56.3706,-1.7731
"punc_MPEG26102",-51.6418,-1.9969
"punc_MPEG28489",-56.2256,-2.5475
"punc_MPEG29314",-59.0495,-2.9096
"punc_MPEG29943",-55.6771,-4.1144
"punc_MTR05978",-39.5233,-15.1547
"punc_MTR12338",-40.0804,-19.4483
"punc_MTR12511",-39.8942,-19.0564
"punc_MTR15267",-42.6216,-22.4354
"punc_MTR17744",-42.5333,-19.6411
"punc_MTR18550",-61.8135,-4.3074
"punc_MTR20798",-61.1451,4.4621
"punc_MTR21474",-59.9494,-2.9979
"punc_MTR21545",-40.1473,-19.0556
"punc_MTR25584",-63.6281,-10.7868
"punc_MTR28048",-73.6575,-7.4424
"punc_MTR28401",-73.7214,-7.5016
"punc_MTR28593",-67.6063,-10.0679
"punc_MTR34227",-39.6611,-15.8958
"punc_MTR34414",-39.07,-16.442
"punc_MTR976723",-53.2564,-13.1833
"punc_MTR978312",-51.2,-9.9
"punc_MTRX1468",-41.7192,-20.9031
"punc_MTRX1478",-43.2547,-22.9712
"punc_MUFAL9635",-35.7099,-9.5073
"punc_PJD409",-57.3956,-5.8174
"punc_UNIBAN1670",-63.2375,-10.2987
